LEA ID,LEA Name,School ID,School Name,"Identified StudentPercentage (ISP)","ProxyIdentified StudentPercentage (ISP)",Eligible to Participate,"Near Eligible toParticipate","CurrentlyParticipating","Participating as anIndividual Site","Participating aspart of a Group ofSchools","Participating asPart of an EntireDistrict","Participating in Year4 and Eligible for aGrace Year","Student Enrollment in Near-Eligible,Eligible, and Participating CEP Schools",Comments
N-02-13,Clark County School District,002-208,"Johnson, Walter  MS",41.28%,X,,,,,,,,"1,497",
N-02-13,Clark County School District,002-409,"Berkley, Shelley  ES",41.91%,X,,,,,,,,754,
N-02-13,Clark County School District,002-161,"McDoniel, Estes M.  ES",42.52%,X,,X,G16,,,,,555,
N-02-13,Clark County School District,002-207,"Tanaka, Wayne N.  ES",42.63%,X,,,,,,,,835,
N-02-13,Clark County School District,002-261,"Simmons, Eva G.  ES",43.11%,X,,,,,,,,689,
N-02-13,Clark County School District,002-346,Basic  HS,43.14%,X,,,,,,,,"2,494",
N-02-13,Clark County School District,002-262,"Wiener, Louis ES",43.25%,X,,,,,,,,585,
N-02-13,Clark County School District,002-199,"Lawrence, Clifford J.  MS",43.55%,X,,,,,,,,"1,348",
N-02-13,Clark County School District,002-168,Las Vegas HS,43.68%,X,,,,,,,,"2,738",
N-02-13,Clark County School District,002-336,"Brookman, Eileen B. ES",43.84%,X,,,,,,,,771,
N-02-13,Clark County School District,002-129,Indian Springs ES,43.86%,X,,X,G29,,,,,114,
N-02-13,Clark County School District,002-209,"Iverson, Mervin ES",43.92%,X,,,,,,,,"1,020",
N-02-13,Clark County School District,002-210,"Treem, Harriet A. ES",44.01%,X,,,,,,,,568,
N-02-13,Clark County School District,002-089,"Bendorf, Patricia  ES",45.58%,X,,,,,,,,735,
N-02-13,Clark County School District,002-183,Bonanza HS,45.88%,X,,,,,,,,"2,025",
N-02-13,Clark County School District,002-297,"Stevens, Josh ES",45.89%,X,,,,,,,,985,
N-02-13,Clark County School District,002-625,"Bryan, Roger ES",46.07%,X,,,,,,,,738,
N-02-13,Clark County School District,002-105,"Christensen, M. J. ES",46.14%,X,,,,,,,,557,
N-02-13,Clark County School District,002-350,"Barber, Shirley A. ES",46.46%,X,,,,,,,,721,
N-02-13,Clark County School District,002-187,Indian Springs  MS,46.58%,X,,X,G21,,,,,73,
N-02-13,Clark County School District,002-303,"O' Callaghan, Mike  MS",46.76%,X,,,,,,,,"1,279",
N-02-13,Clark County School District,002-252,"Knudson, K. O. MS",46.94%,X,,,,,,,,"1,306",
N-02-13,Clark County School District,002-604,"Tomiyasu, Bill Y.  ES",46.95%,X,,,,,,,,541,
N-02-13,Clark County School District,002-075,"Brown, B. Mahlon  MS",47.09%,X,,X,G25,,,,,"1,032",
N-02-13,Clark County School District,002-272,Clark HS,47.27%,X,,,,,,,,"3,201",
N-02-13,Clark County School District,002-363,"Mackey, Jo ES",47.60%,X,,,,,,,,542,
N-02-13,Clark County School District,002-182,Sandy Valley  MS,48.13%,X,,X,G27,,,,,160,
N-02-13,Clark County School District,002-123,"Earl, Marion B.  ES",48.23%,X,,,,,,,,707,
N-02-13,Clark County School District,002-196,"Hill, Charlotte ES",48.24%,X,,,,,,,,595,
N-02-13,Clark County School District,002-323,"Guinn, Kenny C.  MS",48.25%,X,,,,,,,,"1,231",
N-02-13,Clark County School District,002-359,"Adams, Kirk ES",48.30%,X,,,,,,,,501,
N-02-13,Clark County School District,002-206,"Bowler, Joseph L. ES",48.47%,X,,,,,,,,522,
N-02-13,Clark County School District,002-135,"Derfelt, Herbert ES",48.71%,X,,,,,,,,622,
N-02-13,Clark County School District,002-133,"Goldfarb, Daniel ES",48.73%,X,,,,,,,,829,
N-02-13,Clark County School District,002-134,Eldorado  HS,49.01%,X,,,,,,,,"2,026",
N-02-13,Clark County School District,002-079,"Jacobson, Walter ES",49.09%,X,,,,,,,,548,
N-02-13,Clark County School District,002-332,"Kahre, Marc  ES",49.19%,X,,X,G24,,,,,492,
N-02-13,Clark County School District,002-226,"Hayes, Keith & Karen ES",49.43%,X,,X,G22,,,,,700,
N-02-13,Clark County School District,002-169,"Harney, Kathy & Tim MS",49.44%,X,,,,,,,,"1,772",
N-02-13,Clark County School District,002-107,"Hoggard, Mabel  ES",49.89%,X,,,,,,,,447,
N-02-13,Clark County School District,002-136,"Dickens, Dusty ES",50.13%,X,,,,,,,,756,
N-02-13,Clark County School District,002-092,Cimarron Memorial  HS,50.20%,X,,,,,,,,"2,504",
N-02-13,Clark County School District,002-309,Variety - Secondary,50.43%,X,,,,,,,,117,
N-02-13,Clark County School District,002-237,Del Sol HS,50.44%,X,,,,,,,,"2,256",
N-02-13,Clark County School District,002-166,Delta Academy,50.69%,X,,,,,,,,580,
N-02-13,Clark County School District,002-418,"Kim, Frank ES",50.87%,X,,,,,,,,517,
N-02-13,Clark County School District,002-402,"Smith, Helen Marie  ES",50.91%,X,,,,,,,,552,
N-02-13,Clark County School District,002-435,Burkholder MS,50.93%,X,,,,,,,,648,
N-02-13,Clark County School District,002-337,Rancho  HS,50.93%,X,,,,,,,,"3,218",
N-02-13,Clark County School District,002-341,"Sawyer, Grant  MS",51.15%,X,,,,,,,,"1,220",
N-02-13,Clark County School District,002-619,"Findlay, Clifford O.  MS",51.22%,X,,,,,,,,"1,273",
N-02-13,Clark County School District,002-428,"Eisenberg, Dorothy  ES",51.24%,AttaXchment A,X,G31,,,,,,564,
N-02-13,Clark County School District,002-273,Cheyenne  HS,51.52%,X,,,,,,,,"2,005",
N-02-13,Clark County School District,002-222,"Hummel, John R. ES",51.63%,X,X,G26,,,,,,734,
N-02-13,Clark County School District,002-270,"Duncan, Ruby ES",52.27%,X,X,G34,,,,,,660,
N-02-13,Clark County School District,002-144,Marzano Academy at Lomie Heard ES,52.32%,X,X,G30,,,,,,711,
N-02-13,Clark County School District,002-141,"Cozine, Steve and Linda ES",52.34%,X,,,,,,,,663,
N-02-13,Clark County School District,002-103,"Stewart, Helen J.",52.45%,X,,,,,,,,143,
N-02-13,Clark County School District,002-117,Mojave  HS,52.64%,X,,,,,,,,"2,333",
N-02-13,Clark County School District,002-115,"Guy, Addeliar D. III ES",52.67%,X,,,,,,,,543,
N-02-13,Clark County School District,002-329,"Elizondo, Raul E. ES",52.74%,X,,,,,,,,639,
N-02-13,Clark County School District,002-356,"Diskin, Pat A. ES",53.03%,X,,,,,,,,692,
N-02-13,Clark County School District,002-277,"Watson, Fredrick ES",53.04%,X,X,G37,,,,,,707,
N-02-13,Clark County School District,002-217,"Woodbury, C. W. MS",53.90%,X,,,,,,,,898,
N-02-13,Clark County School District,002-213,"Deskin, Ruthe ES",53.98%,X,X,G36,,,,,,591,
N-02-13,Clark County School District,002-353,"Swainston, Theron  MS",54.20%,X,,,,,,,,"1,048",
N-02-13,Clark County School District,002-311,Valley  HS,54.43%,X,,,,,,,,"2,675",
N-02-13,Clark County School District,002-281,"Hayden, Don ES",54.46%,X,X,G34,,,,,,628,
N-02-13,Clark County School District,002-073,"Harris, George E.  ES",54.71%,X,X,G42,,,,,,658,
N-02-13,Clark County School District,002-072,Variety - Elementary,54.84%,X,X,G42,,,,,,31,
N-02-13,Clark County School District,002-132,Laughlin HS,54.86%,X,X,G32,,,,,,370,
N-02-13,Clark County School District,002-234,"Thorpe, Jim ES",55.44%,X,X,G40,,,,,,561,
N-02-13,Clark County School District,002-249,"French, Doris ES",55.71%,X,,,,,,,,569,
N-02-13,Clark County School District,002-298,"Ferron, William E. ES",55.85%,X,,,,,,,,650,
N-02-13,Clark County School District,002-113,Stanford ES,55.88%,X,,,,,,,,655,
N-02-13,Clark County School District,002-218,"Wolfe, Eva M. ES",56.04%,X,,,,,,,,530,
N-02-13,Clark County School District,002-112,"Molasky, Irwin  MS",57.05%,X,,,,,,,,"1,057",
N-02-13,Clark County School District,002-216,"Cannon, Helen C.  MS",57.17%,X,,,,,,,,983,
N-02-13,Clark County School District,002-916,Sandy Valley  ES,57.25%,X,X,G27,,,,,,138,
N-02-13,Clark County School District,002-338,"Mendoza, John ES",57.31%,X,,,,,,,,848,
N-02-13,Clark County School District,002-215,"Scott, Jesse D.  ES",57.32%,X,,,,,,,,656,
N-02-13,Clark County School District,002-274,"Gibson, Robert O. MS",57.41%,X,,,,,,,,"1,268",
N-02-13,Clark County School District,002-957,Western HS,57.48%,X,,,,,,,,"2,681",
N-02-13,Clark County School District,002-250,"Katz, Edythe & Lloyd  ES",58.21%,X,X,G48,,,,,,670,
N-02-13,Clark County School District,002-602,"Jydstrup, Helen ES",58.30%,X,X,G44,,,,,,693,
N-02-13,Clark County School District,002-424,"Priest, Richard E. ES",58.43%,X,,,,,,,,765,
N-02-13,Clark County School District,002-331,Chaparral  HS,58.44%,X,,,,,,,,"2,252",
N-02-13,Clark County School District,002-326,"Cortney, Francis  MS",58.53%,X,,,,,,,,"1,295",
N-02-13,Clark County School District,002-282,"Adcock, O. K. ES",58.57%,X,,,,,,,,642,
N-02-13,Clark County School District,002-162,Innovation  International Secondary,58.67%,X,,,,,,,,300,
N-02-13,Clark County School District,002-228,"Keller, Duane, W.  MS",58.81%,X,,,,,,,,"1,289",
N-02-13,Clark County School District,002-170,"Wengert, Cyril ES",58.83%,X,,,,,,,,651,
N-02-13,Clark County School District,002-321,"Bunker, Berkley ES",58.93%,X,X,G47,,,,,,801,
N-02-13,Clark County School District,002-146,Sunrise Mountain HS,58.94%,X,,,,,,,,"2,445",
N-02-13,Clark County School District,002-620,"Perkins, Dr. Claude G.  ES",59.17%,X,,,,,,,,654,
N-02-13,Clark County School District,002-923,"Bruner, Lucille S. ES",59.34%,X,X,G35,,,,,,664,
N-02-13,Clark County School District,002-322,"Tartan, John  ES",59.74%,X,X,G36,,,,,,549,
N-02-13,Clark County School District,002-283,"Dondero, Harvey  ES",59.81%,X,,,,,,,,821,
N-02-13,Clark County School District,002-083,Goodsprings ES,60.00%,X,X,G42,,,,,,30,
N-02-13,Clark County School District,002-312,"Decker, C. H. ES",60.19%,X,X,G38,,,,,,741,
N-02-13,Clark County School District,002-065,"Sedway, Marvin  MS",60.42%,X,,,,,,,,"1,319",
N-02-13,Clark County School District,002-335,"Cashman, James E.  MS",60.51%,X,,,,,,,,"1,537",
N-02-13,Clark County School District,002-232,Wilhelm. Elizabeth ES,60.82%,X,,,,,,,,656,
N-02-13,Clark County School District,002-324,Canyon Springs  HS,60.85%,X,,,,,,,,"2,595",
N-02-13,Clark County School District,002-110,"Bailey, Sister ES",60.93%,X,X,G6,,,,,,988,
N-02-13,Clark County School District,002-091,"Thiriot, Joseph ES",61.37%,X,,,,,,,,717,
N-02-13,Clark County School District,002-114,Desert Pines  HS,61.52%,X,,,,,,,,"2,744",
N-02-13,Clark County School District,002-289,"Miller, John, F. ES",61.54%,X,X,G27,,,,,,130,
N-02-13,Clark County School District,002-933,"Johnston, Carroll MS",61.67%,X,,,,,,,,"1,234",
N-02-13,Clark County School District,002-145,Innovation International,61.78%,X,,,,,,,,505,
N-02-13,Clark County School District,002-244,"Gray, R. Guild ES",61.84%,X,X,G40,,,,,,477,
N-02-13,Clark County School District,002-317,"Bennett, William  ES",62.21%,X,X,G39,,,,,,344,
N-02-13,Clark County School District,002-253,"Herr, Helen ES",62.40%,X,,,,,,,,726,
N-02-13,Clark County School District,002-082,"Beckley, Will  ES",62.51%,X,X,G45,,,,,,939,
N-02-13,Clark County School District,002-367,Vegas Verdes ES,62.76%,X,,,,,,,,733,
N-02-13,Clark County School District,002-403,Preparatory Institute at Charles I. West Hall ES,62.81%,X,,,,,,,,449,
N-02-13,Clark County School District,002-235,Early Childhood,63.08%,X,,,,,,,,65,
N-02-13,Clark County School District,002-295,"Hancock, Doris ES",63.11%,X,X,G31,,,,,,610,
N-02-13,Clark County School District,002-084,"Hinman, Edna F. ES",63.20%,X,X,G47,,,,,,481,
N-02-13,Clark County School District,002-104,Mission HS,63.27%,X,X,G46,,,,,,49,
N-02-13,Clark County School District,002-160,"Harmon, Harley E.  ES",63.41%,X,,,,,,,,716,
N-02-13,Clark County School District,002-194,CRESTWOOD ES,63.64%,X,,,,,,,,748,
N-02-13,Clark County School District,002-150,"Griffith, E. W. ES",63.64%,X,,,,,,,,627,
N-02-13,Clark County School District,002-315,"Martin, Roy W. MS",63.67%,X,,,,,,,,"1,525",
N-02-13,Clark County School District,002-174,"Garside, Frank F.  MS",63.82%,X,,,,,,,,"1,263",
N-02-13,Clark County School District,002-339,"McMillan, James B.  ES",63.90%,X,X,G41,,,,,,615,
N-02-13,Clark County School District,002-203,"Wasden, Howard  ES",63.96%,X,X,G37,,,,,,616,
N-02-13,Clark County School District,002-201,Twin Lakes ES,64.18%,X,,,,,,,,550,
N-02-13,Clark County School District,002-096,"Bailey, Dr. William H. MS",64.51%,,AttaXchment A,,X,,G43,,,"1,330",
N-02-13,Clark County School District,002-221,"Culley, Paul  ES",64.68%,,X,,,,,,,838,
N-02-13,Clark County School District,002-128,"Sewell, C. T.  ES",64.96%,,X,,X,,G40,,,645,
N-02-13,Clark County School District,002-291,"Robison, Dell H.  MS",65.02%,,X,,,,,,,"1,292",
N-02-13,Clark County School District,002-320,Mountain View ES,65.05%,,X,,,,,,,641,
N-02-13,Clark County School District,002-354,"Parson, Claude and Stella ES",65.12%,,X,,,,,,,387,
N-02-13,Clark County School District,002-328,"Edwards, Elbert ES",65.40%,,X,,,,,,,708,
N-02-13,Clark County School District,002-173,"Brinley, J. Harold MS",65.89%,,X,,,,,,,"1,026",
N-02-13,Clark County School District,002-344,"Cox, Clyde C. ES",65.89%,,X,,,,,,,815,
N-02-13,Clark County School District,002-099,"Tobler, R. E. ES",66.15%,,X,,X,,G41,,,514,
N-02-13,Clark County School District,002-188,"Bridger, Jim  MS",66.18%,,X,,,,,,,"1,428",
N-02-13,Clark County School District,002-345,"Earl, Ira ES",66.19%,,X,,X,,G43,,,766,
N-02-13,Clark County School District,002-251,"Hickey, Liliam  ES",66.24%,,X,,X,,G8,,,779,
N-02-13,Clark County School District,002-427,"Mack, Jerome  MS",66.38%,,X,,X,,G32,,,"1,276",
N-02-13,Clark County School District,002-611,"Dailey, Jack ES",66.45%,,X,,,,,,,772,
N-02-13,Clark County School District,002-421,"Lake, Robert E.  ES",66.55%,,X,,X,,G17,,,870,
N-02-13,Clark County School District,002-334,"Ullom, J. M. ES",67.02%,,X,,X,,G9,,,658,
N-02-13,Clark County School District,002-189,"Long, Walter V. ES",67.36%,,X,,X,,G22,,,861,
N-02-13,Clark County School District,002-090,"Fremont, John C. MS",67.46%,,X,,X,,G23,,,836,
N-02-13,Clark County School District,002-284,"Fong, Wing & Lilly  ES",67.54%,,X,,X,,G43,,,844,
N-02-13,Clark County School District,002-305,"Rundle, Richard ES",67.58%,,X,,X,,G41,,,799,
N-02-13,Clark County School District,002-264,"Smith, J. D. MS",67.58%,,X,,X,,G18,,,981,
N-02-13,Clark County School District,002-074,Desert Rose HS,67.80%,,X,,X,,G42,,,469,
N-02-13,Clark County School District,002-175,"Keller, Charlotte & Jerry ES",67.90%,,X,,X,,G38,,,648,
N-02-13,Clark County School District,002-186,"Carson, Kit  ES",67.96%,,X,,X,,G50,,,387,
N-02-13,Clark County School District,002-412,"Snyder, William ES",68.20%,,X,,X,,G35,,,846,
N-02-13,Clark County School District,002-433,"Cunningham, Cynthia  ES",68.22%,,X,,X,,G42,,,796,
N-02-13,Clark County School District,002-431,"Woolley, Gwendolyn  ES",68.63%,,X,,X,,G5,,,800,
N-02-13,Clark County School District,002-204,"Pittman, Vail ES",68.72%,,X,,X,,G44,,,601,
N-02-13,Clark County School District,002-294,"West, Charles I. MS",68.98%,,X,,,,,,,"1,544",
N-02-13,Clark County School District,002-286,Red Rock ES,69.35%,,X,,X,,G37,,,783,
N-02-13,Clark County School District,002-098,Peterson Behavior Center,69.40%,,X,,X,,G21,,,183,
N-02-13,Clark County School District,002-071,"Rowe, Lewis E. ES",69.49%,,X,,X,,G14,,,708,
N-02-13,Clark County School District,002-910,"Park, John S. ES",69.72%,,X,,X,,G24,,,743,
N-02-13,Clark County School District,002-078,"Williams, Tom  ES",70.02%,,X,,X,,G49,,,834,
N-02-13,Clark County School District,002-343,"Cortez, Manuel  ES",70.28%,,X,,X,,G15,,,757,
N-02-13,Clark County School District,002-434,Monaco MS,70.30%,,X,,X,,G25,,,"1,330",
N-02-13,Clark County School District,002-325,"Reid, Harry  ES",70.37%,,X,,X,,G48,,,27,
N-02-13,Clark County School District,002-190,"Ronnow, C. C. ES",70.69%,,X,,X,,G43,,,771,
N-02-13,Clark County School District,002-360,"McWilliams, J. T.  ES",70.72%,,X,,X,,G39,,,823,
N-02-13,Clark County School District,002-191,"Von Tobel, Ed  MS",70.76%,,X,,X,,G30,,,"1,204",
N-02-13,Clark County School District,002-285,"Warren, Rose  ES",70.76%,,X,,X,,G28,,,749,
N-02-13,Clark County School District,002-260,Miley Secondary,71.43%,,X,,X,,G31,,,84,
N-02-13,Clark County School District,002-230,"Ward, Gene  ES",71.61%,,X,,X,,G33,,,715,
N-02-13,Clark County School District,002-254,"Diaz, Ruben ES",71.77%,,X,,X,,G34,,,719,
N-02-13,Clark County School District,002-192,"Reed, Doris ES",72.07%,,X,,X,,G16,,,777,
N-02-13,Clark County School District,002-239,Lincoln  ES,72.10%,,X,,X,,G26,,,803,
N-02-13,Clark County School District,002-198,"King, Martin Luther ES",72.29%,,X,,X,,G26,,,516,
N-02-13,Clark County School District,002-139,"Tate, Myrtle  ES",72.41%,,X,,X,,G18,,,870,
N-02-13,Clark County School District,002-290,"Herron, Fay  ES",72.43%,,X,,X,,G23,,,856,
N-02-13,Clark County School District,002-265,"Lunt, Robert  ES",72.61%,,X,,X,,G14,,,628,
N-02-13,Clark County School District,002-127,"Squires, C. P. ES",73.02%,,X,,X,,G10,,,708,
N-02-13,Clark County School District,002-195,"Bell, Rex  ES",73.17%,,X,,X,,G12,,,928,
N-02-13,Clark County School District,"Roundy, Dr. C Owen ES",73.73%,73.73%,X,,X,,G11,,,,830,
N-02-13,Clark County School District,"Hollingsworth, Howard E.  ES",73.90%,73.90%,X,,X,,G16,,,,636,
N-02-13,Clark County School District,"Ronzone, Bertha  ES",74.03%,74.03%,X,,X,,G19,,,,901,
N-02-13,Clark County School District,"Moore, William K. ES",74.24%,74.24%,X,,X,,G28,,,,695,
N-02-13,Clark County School District,"Gragson, Oran ES",74.27%,74.27%,X,,X,,G15,,,,820,
N-02-13,Clark County School District,Paradise ES,74.27%,74.27%,X,,X,,G36,,,,517,
N-02-13,Clark County School District,"Cambeiro, Arturo ES",74.53%,74.53%,X,,X,,G7,,,,640,
N-02-13,Clark County School District,"Hewetson, Halle ES",74.90%,74.90%,X,,X,,G7,,,,972,
N-02-13,Clark County School District,100 Academy of Excellence Secondary,75.00%,75.00%,X,,X,I,,,,,148,
N-02-13,Clark County School District,"Wynn, Elaine  ES",75.00%,75.00%,X,,X,,G13,,,,924,
N-02-13,Clark County School District,Whitney  ES,75.15%,75.15%,X,,X,,G6,,,,491,
N-02-13,Clark County School District,"Dearing, Laura ES",75.26%,75.26%,X,,X,,G20,,,,881,
N-02-13,Clark County School District,"Lowman, Zel & Mary ES",75.39%,75.39%,X,,X,,G8,,,,837,
N-02-13,Clark County School District,"Booker, Kermit R.  ES",75.60%,75.60%,X,,X,,G13,,,,500,
N-02-13,Clark County School District,"Craig, Lois ES",76.44%,76.44%,X,,X,,G12,,,,730,
N-02-13,Clark County School District,South Continuation @ 870,76.47%,76.47%,X,,X,,G27,,,,289,
N-02-13,Clark County School District,Rainbow Dreams Academy,77.27%,77.27%,X,,X,I,,,,,220,
N-02-13,Clark County School District,"Manch, J. E. ES",77.28%,77.28%,X,,X,,G9,,,,898,
N-02-13,Clark County School District,"Jeffers, Jay  ES",77.50%,77.50%,X,,X,,G17,,,,791,
N-02-13,Clark County School District,"Smith, Hal ES",77.57%,77.57%,X,,X,,G11,,,,945,
N-02-13,Clark County School District,"Detwiler, Ollie ES",77.78%,77.78%,X,,X,,G25,,,,729,
N-02-13,Clark County School District,"Orr, William E.  MS",78.72%,78.72%,X,,X,,G5,,,,"1,034",
N-02-13,Clark County School District,"Cahlan, Marion  ES",79.15%,79.15%,X,,X,,G22,,,,796,
